-*- mode: org -*-

|-------+------+------+--------|
| level |   ew | down | random |
|-------+------+------+--------|
|     0 |  399 |  387 |    627 |
|     1 | 1296 | 1296 |   1320 |
|     2 |  673 |  661 |    656 |
|     3 |  744 |  697 |    714 |
|     4 |  473 |  445 |    438 |
|     5 |  556 |  576 |    597 |
|     6 |  819 |  684 |    686 |
|     7 |  611 |  625 |    604 |
|     8 | 1485 | 1509 |   2320 |
|     9 |  237 |  447 |    267 |
|    10 | 2280 | 2280 |   2280 |
|    11 |  545 |  557 |    520 |
|    12 |  749 |  510 |    680 |
|    13 |  534 |  534 |    534 |
|    14 | 1670 | 1592 |   1748 |
|    15 |  686 |  424 |    606 |
|    16 |  678 |  583 |    611 |
|    17 | 1906 | 1400 |   1400 |
|    18 |  541 |   81 |    483 |
|    19 | 1794 | 1794 |   1866 |
|    20 |  560 |  597 |    585 |
|    21 |  962 |  950 |    962 |
|    22 |   16 |   16 |     16 |
|    23 |  327 |  327 |      6 |
|-------+------+------+--------|
